"filename", "language", "TypeScript", "JSON with Comments", "JSON", "XML", "TypeScript JSX", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/figma.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/filter-lines.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/fresh-fv.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/google.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/gradient-mesh.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/hamburger.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/home.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/jsm.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/linesCool.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/loader.svg", "XML", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 26
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/logo.svg", "XML", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 58
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/logout.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/mastercard.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/money-send.svg", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/monitor.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
